Details,Translate_Details,Area,Contractor,Type_of_finding,Topic,Clean_Details,Clean_Translate_Details
UT-LH-งานFunctiontestแขวนTagอุปกรณ์LOTO,UT-LH-Functiontest Hang Tag Device LOTO,TFU,MOC (OPE),Unsafe Action,LOTO/ LB,UT-LH-งานFunctiontestแขวนTagอุปกรณ์LOTO,UT-LH-Functiontest Hang Tag Device LOTO
LevelSpringerระบบน้ำดับเพลิงฉีดน้ำงารถFolkliftกระแทกทำงานขนย้ายBigbag,LevelSpringerWater Sprinkler SystemFolklift Bump Working Transport Bigbag,UT,ECO,Accident,Transportation,LevelSpringerระบบน้ำดับเพลิงฉีดน้ำงารถFolkliftกระแทกทำงานขนย้ายBigbag,LevelSpringerWater Sprinkler SystemFolklift Bump Working Transport Bigbag
Levelเวลาน.มีรถForkliftเฉี่ยวชนspringerทำให้springerแตกระบบsprayสั่งเปิดน้ำ,"Level at noon. A forklift crashes into a springer, causing the springer to break. The spray system opens the water.",UT,ECO,Accident,Transportation,Levelเวลาน.มีรถForkliftเฉี่ยวชนspringerทำให้springerแตกระบบsprayสั่งเปิดน้ำ,"Level at noon. A forklift crashes into a springer, causing the springer to break. The spray system opens the water."
"15น้องFOสายFlexibleHoseบริเวณข้างๆMufferE-Cเกิดมีน้ำBFWพุ่งโดนน้องFOที่ทำงานบริเวณได้รับบาดเจ็บน้ำBFWลวกบริเวณคอหลัง
15น้องFOรับวิ่งอาบน้ำShowerข้างD-
USแจ้งECขอรถถพยาบาลส่งน้องFOปฐมพยาบาลห้องพยาบาล
15  รอรถน้องๆFOว่านหางจระเข้แผลบริเวณคอหลัง
15รถพยาบาลรับน้องFOหน้างานปฐมพยาบาลห้องพยาบาล
15พยาบาลส่งต่อน้องFOโรงพยาบาลกรุงเทพระยอง","15 Nong FO, FlexibleHose line, next to Muffer E-C, BFW water crashed into Nong FO who worked at the area of ​​injury. BFW water scalded around the neck, back.
15 Nong FO takes a shower and shower next to D-
US notifies EC asking for an ambulance to send FO first aid to the ambulance room
15 Waiting for the car. FO sisters. Aloe Vera wound around the neck and back.
15 ambulance picks up FO in front of the first aid event, the hospital room.
15 nurses referred to Nong FO, Bangkok Hospital, Rayong",HOT,MOC (OPE),Accident,Process & Operation,"15น้องFOสายFlexibleHoseบริเวณข้างๆMufferE-Cเกิดมีน้ำBFWพุ่งโดนน้องFOที่ทำงานบริเวณได้รับบาดเจ็บน้ำBFWลวกบริเวณคอหลัง
15น้องFOรับวิ่งอาบน้ำShowerข้างD-
USแจ้งECขอรถถพยาบาลส่งน้องFOปฐมพยาบาลห้องพยาบาล
15  รอรถน้องๆFOว่านหางจระเข้แผลบริเวณคอหลัง
15รถพยาบาลรับน้องFOหน้างานปฐมพยาบาลห้องพยาบาล
15พยาบาลส่งต่อน้องFOโรงพยาบาลกรุงเทพระยอง","15 Nong FO, FlexibleHose line, next to Muffer E-C, BFW water crashed into Nong FO who worked at the area of ​​injury. BFW water scalded around the neck, back.
15 Nong FO takes a shower and shower next to D-
US notifies EC asking for an ambulance to send FO first aid to the ambulance room
15 Waiting for the car. FO sisters. Aloe Vera wound around the neck and back.
15 ambulance picks up FO in front of the first aid event, the hospital room.
15 nurses referred to Nong FO, Bangkok Hospital, Rayong"
Lเวลาน.พนักงานติดตั้งนั่งร้านชั้นมีการรับส่งนั่งร้านชั้นทำงานขนย้ายเดินเหยียบผ้าใบมีคราบน้ำมันเดินGratingเกิดลื่นล้มได้รับบาดเจ็บด้าน,"At noon, the worker installs scaffolding, floor scaffolding, transport work, walks on canvas, has oil stains, walks Grating slips, falls, gets injured.",HOT,RNC,Accident,Housekeeping,Lเวลาน.พนักงานติดตั้งนั่งร้านชั้นมีการรับส่งนั่งร้านชั้นทำงานขนย้ายเดินเหยียบผ้าใบมีคราบน้ำมันเดินGratingเกิดลื่นล้มได้รับบาดเจ็บด้าน,"At noon, the worker installs scaffolding, floor scaffolding, transport work, walks on canvas, has oil stains, walks Grating slips, falls, gets injured."
"TFU-HH-ทำงานInstallcompactvalvepassingมีGasleak
ขณะMDDivmgrsafetymgrlinewalkหน้างานพบกิจกรรมการbreakหน้าแปลนconnectcompactproverพบมีvalvepassingHCleakออกหน้าแปลนมีการใช้ค้อนประแจตีบริเวณแปลนมีการleakมีการdiluteNมาตรการป้องกันไฟไหม้เพียงพอพี่แนะนำหยุดกิจกรรมทบทวนมาตรการ","TFU-HH - Works Installcompactvalvepassing with Gasleak
While MDDivmgrsafetymgrlinewalk on site encountered flange breaking activity, connectcompactprover found valvepassingHCleak out flange was used with a hammer and spanner to hit flange area, leak had been diluted, fire prevention measures were sufficient, I recommend stopping review measures activities.",TFU,Flow lab,HNM,Installation/ Alignment,"TFU-HH-ทำงานInstallcompactvalvepassingมีGasleak
ขณะMDDivmgrsafetymgrlinewalkหน้างานพบกิจกรรมการbreakหน้าแปลนconnectcompactproverพบมีvalvepassingHCleakออกหน้าแปลนมีการใช้ค้อนประแจตีบริเวณแปลนมีการleakมีการdiluteNมาตรการป้องกันไฟไหม้เพียงพอพี่แนะนำหยุดกิจกรรมทบทวนมาตรการ","TFU-HH - Works Installcompactvalvepassing with Gasleak
While MDDivmgrsafetymgrlinewalk on site encountered flange breaking activity, connectcompactprover found valvepassingHCleak out flange was used with a hammer and spanner to hit flange area, leak had been diluted, fire prevention measures were sufficient, I recommend stopping review measures activities."
ขณะประกอบหัวลากตู้คอนเทนเนอร์ตู้พับทำให้ทรุด,"While assembling the trailer hitch, the collapsible container collapsed.",HOT,HDS,HNM,Transportation,ขณะประกอบหัวลากตู้คอนเทนเนอร์ตู้พับทำให้ทรุด,"While assembling the trailer hitch, the collapsible container collapsed."
งานWaterjetTLEtubeHoseสบัด,WaterjetTLEtubeHose work,HOT,HDS,HNM,Water jet,งานWaterjetTLEtubeHoseสบัด,WaterjetTLEtubeHose work
เวลาน.งานConcreteข้อต่อสายไฮดรอลิกรถBackholeแตกชนขอบบ่อทำให้น้ำมันhydraulicspillลิตร,"At noon, the concrete work, the hydraulic hose joints, the backhole car broke into the edge of the well, causing a liter of hydraulicspill oil.",UT,HDS,HNM,Excavation,เวลาน.งานConcreteข้อต่อสายไฮดรอลิกรถBackholeแตกชนขอบบ่อทำให้น้ำมันhydraulicspillลิตร,"At noon, the concrete work, the hydraulic hose joints, the backhole car broke into the edge of the well, causing a liter of hydraulicspill oil."
งานเพิ่มPressurekgcmเป็นkgcmช่วยดันCROCไปTK-HotSectionเปิดดูSetpointalarmpressureHHHค่าPressuredesignDCSsetpointalarmpressurehighhighhighD-setkgcmค่าค่าPressuredesignD-851คือkgcm,"Adding Pressurekgcm to kgcm helps push CROC to TK-HotSection, open SetpointalarmpressureHHH, PressuredesignDCSsetpointalarmpressurehighhighD-setkgcm, PressuredesignD-851 value is kgcm.",ARU,Kittikom K.,HNM,Process & Operation,งานเพิ่มPressurekgcmเป็นkgcmช่วยดันCROCไปTK-HotSectionเปิดดูSetpointalarmpressureHHHค่าPressuredesignDCSsetpointalarmpressurehighhighhighD-setkgcmค่าค่าPressuredesignD-851คือkgcm,"Adding Pressurekgcm to kgcm helps push CROC to TK-HotSection, open SetpointalarmpressureHHH, PressuredesignDCSsetpointalarmpressurehighhighD-setkgcm, PressuredesignD-851 value is kgcm."
