words,spell,correct,frequency
กระชอน,['strainer'],strainer,20
เครื่องกรอง,['strainer'],strainer,20
abnormal,"['abnormal', 'normal', 'handrail']",abnormal,18
ac,"['air compressor', 'apc', 'rack', 'pact']",air compressor,4
accesories,"['accesories', 'accessories', 'accessories']",accesories,4
access,"['access', 'accesories', 'accessories']",access,11
accessories,"['accessories', 'accessories', 'accesories']",accessories,3
accu,"['accumulator', 'accumulator', 'actuator', 'vacuum', 'vacuum', 'backup']",accumulator,11
accum,"['accumulator', 'accumulator', 'actuator', 'vacuum', 'vacuum', 'acfm']",accumulator,12
accumlator,"['accumulator', 'accumulator', 'actuator']",accumulator,6
accumolator,"['accumulator', 'accumulator', 'actuator']",accumulator,2
accumulator,"['accumulator', 'accumulator', 'actuator']",accumulator,49
ace,"['face', 'space', 'space']",space,8
acid,"['coid', 'coid', 'naoci']",acid,2
acronis,"['acronis', 'cross', 'argon']",acronis,4
acrylic,"['acrylic', 'ari']",acrylic,2
activate,"['activated', 'activated', 'activeted']",activated,25
activated,"['activated', 'activated', 'activeted']",activated,26
activeted,"['activeted', 'activated', 'activated']",activeted,18
actuator,"['actuator', 'actuator', 'accumulator']",actuator,21
acturtor,"['actuator', 'actuator', 'auto']",actuator,2
ad,"['adapter', 'adapter', 'adaptor', 'pad', 'and', 'add']",adapter,5
adap,"['adapter', 'adapter', 'adaptor', 'pad', 'and', 'add']",adapter,5
adapter,"['adapter', 'adapter', 'adaptor']",adapter,2
adaptor,"['adaptor', 'adapter', 'adapter']",adaptor,2
add,"['add', 'pad', 'ladder']",add,101
addition,"['addition', 'deviation', 'deviation']",addition,34
adjust,"['adjust', 'readout', 'exhaust']",adjust,30
aea,"['area', 'area', 'paa']",area,3
aerator,"['aerator', 'generator', 'generator']",aerator,11
after,"['after', 'water', 'eater']",after,132
agging,"['tagging', 'aging', 'hanging']",aging,2
aging,"['aging', 'tagging', 'hanging']",aging,26
ah,"['ah', 'wah', 'ahu']",ah,350
air,"['air', 'pair', 'ir']",air,642
air com,"['intercom', 'intercom', 'air']",air compressor,4
aircom,"['intercom', 'intercom', 'air compressor']",air compressor,41
aircomp,"['intercom', 'intercom', 'air compressor']",air compressor,41
aircraft,"['aircraft', 'craft', 'air duct']",aircraft,2
airduct,"['air duct', 'duct', 'product']",air duct,3
airpurge,"['air purge', 'purge', 'rupture']",air purge,2
ais,"['as', 'ai', 'raised']",raised,2
alam,"['alarm', 'alarm', 'alarm']",alarm,3
alarm,"['alarm', 'alarm', 'alarm']",alarm,276
alighment,"['alignment', 'alignment', 'alignment']",alignment,7
aligment,"['alignment', 'alignment', 'alignment']",alignment,8
alignment,"['alignment', 'alignment', 'alignment']",alignment,35
alingment,"['alignment', 'alignment', 'alignment']",alignment,4
all,"['all', 'wall', 'ball']",all,118
alrm,"['alarm', 'alarm', 'alarm']",alarm,2
alum,"['alarm', 'alarm', 'alarm']",alarm,87
alumn,"['column', 'aluminium', 'alarm']",alarm,2
am,"['atm', 'amp', 'warm']",amp ,2
amc,"['mc', 'umc', 'moc']",alarm,2
ammeter,"['meter', 'hammer', 'parameter']",amp meter,2
amp,"['amp', 'lamp', 'camp']",amp,15
analazer,"['analyzer', 'angle', 'alarm']",analyzer,2
analog,"['analog', 'nalco', 'manual']",analog,5
analysis,"['analysis', 'catalyst', 'analyzer']",analysis,14
analyzer,"['analyzer', 'analysis', 'angle']",analyzer,1059
and,"['and', 'sand', 'hand']",and,1891
angle,"['angle', 'range', 'cange']",angle,10
annual,"['annual', 'manual', 'manual']",annual,7
annunciator,"['annunciator', 'actuator', 'actuator']",annunciator,4
ans,"['ans', 'ns', 'as']",as,7
anti,"['panting', 'plant', 'painting']",anti,5
antifoam,"['foam', 'foam', 'foam']",anitfoam,5
antivirus,"['antivirus', 'virus']",antivirus,2
app,"['pp', 'sap', 'pps']",approve,2
approve,"['approve', 'prove', 'prover']",approve,2
