words,frequency
aanalyzer,1
aanlyzer,1
aater,1
abnormal,12
abrepair,1
ac,2
accept,1
accesories,4
access,5
accessories,3
acctivated,1
accu,1
accum,3
accumlator,1
accumulator,24
accunulator,1
ace,8
acees,1
acess,1
acheck,1
acid,1
acronis,2
acrylic,2
act,1
actautor,1
action,1
activate,21
activated,24
activet,1
activeted,16
activets,1
actrutor,1
actuator,17
acturtor,2
adapter,2
adaptor,2
add,83
addition,3
adjust,26
adjustment,1
aerator,7
after,126
aging,21
air,493
aircom,2
aircomp,11
aircraft,1
airduct,2
airfin,1
airlift,1
airpuge,1
airpurge,2
alam,2
alarm,197
alarn,1
algnment,1
algorithm,1
alighment,2
aligment,6
alignment,23
alignmet,1
aliment,1
alingment,4
all,45
alrm,2
alum,13
amc,1
amd,1
amp,10
ampifly,1
amplifier,1
analazer,1
analog,4
analysis,9
analyzed,1
analyzer,434
ananlyzer,1
and,1593
andreinstall,1
angle,8
annual,5
annunciator,4
antifoam,1
area,171
areapm,1
aremove,1
arepair,3
ari,2
arm,3
armor,2
array,8
aru,43
as,5
asfound,1
assembly,3
asset,7
at,128
ata,4
atb,2
atc,1
atg,48
ativate,1
atm,1
ats,1
audit,1
auto,43
ax,11
ay,1
b,786
back,12
backet,1
backfill,8
backplate,1
backup,4
baffle,1
bag,4
balance,1
ball,16
ban,1
banket,1
bar,2
base,22
based,1
bath,2
batt,2
battary,1
battery,19
bb,1
bc,5
bd,4
beacon,8
beal,1
beam,21
bearing,11
becon,4
before,6
bellow,4
belt,33
belts,1
bench,1
bend,2
bently,4
beste,1
bfw,14
bg,7
bidding,6
big,5
bilnd,1
biuff,1
bkine,1
black,1
blackup,1
blade,9
bland,6
blank,1
blast,4
blasting,49
blind,495
bling,2
block,20
blow,3
blowdown,11
blower,8
bluff,9
bnoload,1
board,10
body,8
boer,1
boier,1
boilc,1
boiler,93
boilera,1
boileraflame,1
boilerbflame,4
boilercflame,2
boilrvisual,1
bolk,1
bolt,155
bolts,1
bomb,1
bomd,1
bon,1
bonnet,4
boom,36
boomlift,2
boonraksasri,1
booster,4
boot,2
booter,1
bord,1
bore,76
borescop,1
borescope,20
borld,1
borscope,3
borscore,1
both,3
bottol,3
bottom,19
botton,1
bottop,1
bouilding,3
box,87
boxinspect,1
bracket,1
braker,1
brand,3
brane,1
break,17
breaker,8
breakthough,1
breakthrough,4
bream,2
breeaker,1
bremove,2
breuse,1
brick,2
brigde,1
broescope,1
bruf,1
brush,1
btm,3
btop,2
buff,22
buffing,6
buffle,1
build,1
building,2
bulging,1
bun,1
bund,2
bundle,5
bunner,2
burner,21
burnerrefactory,1
burnett,1
burnner,2
bus,13
busduct,7
busdust,1
bush,1
button,2
bv,31
by,96
bypass,25
bypassvalve,2
c,206
cabinet,26
cable,121
cableduct,23
cables,1
cack,1
cadweld,22
caertridge,1
cafsule,1
cahnge,1
cake,14
cal,253
calble,1
calcheck,2
calculation,1
calibartion,1
calibation,1
calibeate,1
calibrat,1
calibrate,256
calibratiom,1
calibration,94
calibrtae,1
calibtation,1
call,16
callibrate,10
calsite,1
calstroke,4
camp,5
cange,2
canned,1
caot,1
cap,2
capacitor,1
capsule,5
car,3
carbarier,2
carbinet,1
carbon,93
carbonmonitor,1
carburization,1
card,83
caribrate,1
carrier,241
carrir,1
carrrier,1
cartridge,18
cartrigde,4
cartrige,1
cartriged,2
cascade,2
case,1
casing,16
catalyst,12
catcher,3
cathadic,1
cathodic,28
catodic,1
cattach,1
caustic,10
cautic,2
cavitation,1
cb,13
cbd,6
cc,1
ccb,60
ccr,8
cctv,28
cd,7
cdef,1
cdu,15
ce,1
ceahek,1
cel,1
cell,12
cement,2
cemical,1
cems,126
ceramic,2
cfu,25
cg,4
cgc,2
ch,2
chack,16
chacker,1
chamber,3
chameical,1
chamical,3
chamicals,1
champer,1
chanfge,1
chang,47
change,1331
channel,1
channg,1
charger,49
chargre,1
charmber,2
chceck,1
chcek,2
cheak,21
cheamicals,1
chec,1
checek,1
chech,9
chechemical,1
check,3083
checkcheck,1
checkcheet,1
checke,1
checked,1
checker,16
checkleak,2
checkmetor,1
checksheet,7
checl,1
cheek,7
cheet,3
chek,5
chekc,2
chemacals,1
chemaical,2
chemecals,1
chemical,394
chemicals,237
chemicalslog,1
chemiical,1
chenge,1
chiiler,1
chiller,17
cho,1
chore,1
chrange,1
chrck,1
ciean,1
cip,3
circular,6
civil,1
ckb,465
ckeck,4
cla,1
claean,2
claen,5
claening,35
clamp,28
clan,2
clane,2
clarifier,2
clarn,1
class,83
classs,1
clea,2
cleab,1
cleal,1
clean,2930
cleane,2
cleaner,1
cleaning,125
cleaningrefill,12
cleaninspect,1
cleanning,3
cleansludge,1
clear,37
clearn,9
clecn,2
cleean,1
cler,1
client,9
close,61
clsen,1
clw,3
cm,24
cmc,2
cmcb,1
co,15
coalescer,1
coat,1
coating,78
cod,34
coid,2
coil,229
coke,3
cold,77
coldbox,5
collar,1
colling,1
column,8
com,61
comapct,1
combus,1
combusible,3
combustible,1
combustion,9
comduct,1
comfirm,2
comment,4
comments,1
commisioning,2
commissioning,17
commissionning,1
common,7
commu,3
communicate,1
communication,12
communit,2
comon,1
comp,18
compact,60
compcat,1
complete,1
comploung,1
compound,12
compressoor,2
compressor,19
compressore,2
compressur,1
compressure,3
comps,1
