words,spell,correct,frequency
ส่,"['ส่ง', 'สี', 'สู่', 'ใส่', 'สิ', 'สี่', 'สา', 'สุ', 'สม', 'สด', 'สบ', 'สะ', 'สน', 'บ่', 'สู', 'สึ', 'สห', 'สร', 'สอ', 'สง', 'สำ', 'ส่อ', 'สว', 'สก', 'สต', 'สค', 'ส่ำ', 'สป', 'ส่า', 'สถ', 'สพ', 'สย', 'แส่', 'ส่น', 'สฤ', 'สส', 'สภ', 'สล', 'สท', 'สช', 'ไส่', 'สจ', 'เส่', 'ส่ม', 'สญ', 'สศ', 'ห่', 'สฐ', 'สณ']",ส่ง,2
เต้น,['เต็นท์'],เต็นท์,2
ท่อระบายน้ำ,['ท่อระบายน้ำ'],ท่อระบายน้ำ,2
มายัง,['มายัง'],มายัง,2
เพ,['เพ'],เพ,2
ปูพื้น,['ปูพื้น'],ปูพื้น,2
แต่ละ,['แต่ละ'],แต่ละ,2
เคลม,['เคลม'],เคลม,2
ชัน,['ชัน'],ชัน,2
หางหนู,"['สารหนู', 'ตาหนู', 'หูหนู', 'อาหนู']",สารหนู,2
รู้,['รู้'],รู้,2
เก็บสี,['เก็บสี'],เก็บสี,2
หุ่ม,['หุ่ม'],หุ่ม,2
ท้า,['ท้า'],ท้า,2
ต่อหน้า,['ต่อหน้า'],ต่อหน้า,2
วาน,['วาน'],วาน,2
ฝาครอบ,['ครอบ'],ครอบ,2
ตั้งไฟ,['บั้งไฟ'],บั้งไฟ,2
ทองแดง,['ทองแดง'],ทองแดง,2
พาหะ,['พาหะ'],พาหะ,2
ขึง,['ขึง'],ขึง,2
ตุ้,['ตุ้'],ตุ้,2
เลาะ,['เลาะ'],เลาะ,2
บานพับ,['บานพับ'],บานพับ,2
กิ้,['กิ้'],กิ้,2
บล็อก,['บล็อก'],บล็อก,2
ไขน้ำ,['ไขน้ำ'],ไขน้ำ,2
ตั้นั่ง,['ตั้นั่ง'],ตั้นั่ง,2
เสริม,['เสริม'],เสริม,2
มิเตอร์,['มิเตอร์'],มิเตอร์,2
วันที่,['วันที่'],วันที่,2
โพ,['โพ'],โพ,2
ทำตัว,['ทำตัว'],ทำตัว,2
ชั่วคราว,['ชั่วคราว'],ชั่วคราว,2
เลฟินส์,"['เลนส์', 'ฟินส์', 'เฟิลส์', 'เอคินส์', 'เลียนส์', 'เฟ่นส์', 'คลินส์', 'ลินส์']",เลนส์,2
วิ่ง,['วิ่ง'],วิ่ง,2
กาง,['กาง'],กาง,2
นำ้,"['น้ำ', 'นี้', 'นำ', 'นู้']",น้ำ,2
ย้า่ย,['ย้าย'],ย้าย,2
เคลื่อน,['เคลื่อน'],เคลื่อน,2
ทำบุญ,['ทำบุญ'],ทำบุญ,2
กันแดด,['กันแดด'],กันแดด,2
แคป,['แคป'],แคป,2
ล,"['ลง', 'ผล', 'ละ', 'ลด', 'ลา', 'ลม', 'แล', 'พล', 'ลิ', 'ลำ', 'ลบ', 'ลี', 'โล', 'เล', 'ลอ', 'ชล', 'ไล', 'ลู', 'กล', 'มล', 'ดล', 'ลก', 'ลุ', 'คล', 'ยล', 'บล', 'นล', 'ลน', 'หล', 'ลล', 'อล', 'จล', 'ลว', 'ลท', 'วล', 'ลป', 'ศล', 'ลพ', 'ลส', 'ตล', 'สล', 'ษล', 'ปล', 'ฑล', 'ทล', 'ลภ', 'ลช', 'ลึ', 'ลต', 'ใล', 'ฟล', 'รล', 'ฉล', 'ฃล', 'ธล', 'ลค', 'ฌล', 'งล', 'ลณ']",ลง,2
หลักฐาน,['หลักฐาน'],หลักฐาน,2
อิง,['อิง'],อิง,2
ศูนย์กลาง,['ศูนย์กลาง'],ศูนย์กลาง,2
เป็นระเบียบเรียบร้อย,['เป็นระเบียบเรียบร้อย'],เป็นระเบียบเรียบร้อย,2
เบอร์,['เบอร์'],เบอร์,2
ขนส่ง,['ขนส่ง'],ขนส่ง,2
น้้า,"['น้า', 'น้าา', 'นห้า']",น้า,2
กำลังคน,"['กำลัง', 'กำลังใจ', 'กลางคน', 'กำลังดี']",กำลัง,2
กน,['กน'],กน,2
ห้ว,"['หัว', 'ห้า', 'หิว', 'ห้วย', 'ห้วง', 'หิ้ว', 'ห้าว', 'ห้วน', 'หาว', 'แห้ว', 'ห้อ', 'ห้ง', 'ห้ำ', 'หีว', 'ห้ม', 'ห้ค', 'เห้ว', 'ห้ส', 'ห้น', 'ห้ป', 'หั้ว']",หัว,2
ผู้ตรวจ,['ผู้ตรวจ'],ผู้ตรวจ,2
ตกค้าง,['ตกค้าง'],ตกค้าง,2
ติดตัง,"['ติดตั้ง', 'ติดตัว']",ติดตั้ง,2
ข้น,['ข้น'],ข้น,2
กันน้ำ,"['กินน้ำ', 'ปันน้ำ']",กินน้ำ,2
สไลด์,['สไลด์'],สไลด์,2
ทา,['ทา'],ทา,2
่ยน,"['โยน', 'ย่น', 'เยน', 'ยน', 'แยน']",โยน,2
ตี้ง,['ตี้ง'],ตี้ง,2
จุ,['จุ'],จุ,2
ุด,"['ใด', 'ลด', 'จุด', 'ชุด', 'สุด', 'สด', 'กด', 'โด', 'อด', 'ดุ', 'จด', 'ขุด', 'เด', 'ได', 'งด', 'รด', 'อุด', 'หด', 'ผุด', 'ฉุด', 'มด', 'บด', 'ดด', 'พุด', 'แด', 'มุด', 'กุด', 'คด', 'ทด', 'ขด', 'รุด', 'ตด', 'ซด', 'ฮุด', 'ปด', 'งุด', 'นด', 'ยุด', 'ปุด', 'ลุด', 'ผด', 'คุด', 'ฟุด', 'บุด', 'ทุด', 'ชด', 'ตุด', 'พด', 'ยด', 'ซุด', 'ดุด', 'ถด', 'วด', 'วุด', 'ฮด', 'หุด', 'ฟด', 'ฃด', 'นุด', 'ฌด', 'ฝด', 'ฃุด']",ใด,2
ฉาก,['ฉาก'],ฉาก,2
ลิ,['ลิ'],ลิ,2
หนัา,"['หน้า', 'หนัง', 'หนัก', 'หนา', 'หนับ', 'หนัน', 'หน่า', 'หนัด', 'หนัว']",หน้า,2
ถ่ายภาพ,['ถ่ายภาพ'],ถ่ายภาพ,2
ยานพาหนะ,['ยานพาหนะ'],ยานพาหนะ,2
ถอก,['ถอก'],ถอก,2
ปลอก,['ปลอก'],ปลอก,2
รูป,['รูป'],รูป,2
ติ,['ติ'],ติ,2
ไลน์,['ไลน์'],ไลน์,2
แท่ง,['แท่ง'],แท่ง,2
เข้าออก,"['ขาออก', 'เข้ารอบ', 'เข้ารอย', 'เข้าฝัก', 'เข้าคอ']",ขาออก,2
คอมพิวเตอร์,['คอมพิวเตอร์'],คอมพิวเตอร์,2
คลี,['คลี'],คลี,2
ยืม,['ยืม'],ยืม,2
ใข,['ใข'],ใข,2
